Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1334.7048
FDW14,OUT017,1452.9717
NCN55,OUT010,767.4079
FDQ58,OUT017,2443.338
FDY38,OUT027,6666.951
FDH56,OUT046,1841.3644
FDL48,OUT018,617.03485
FDC48,OUT027,1703.1847
FDN33,OUT045,1486.1736
FDA36,OUT017,2444.8164
FDT44,OUT017,1752.424
FDQ56,OUT045,1522.0869
NCC54,OUT019,544.4767
FDU11,OUT049,1982.6812
DRL59,OUT013,797.06287
FDM24,OUT049,2622.4763
FDI57,OUT045,3646.2502
DRC12,OUT018,2847.5845
NCM42,OUT027,2777.2068
FDA46,OUT010,705.21045
FDA31,OUT013,2561.0974
NCJ31,OUT035,4221.188
FDG52,OUT046,725.2271
NCL19,OUT019,269.4749
FDS10,OUT035,2667.5413
FDX22,OUT010,698.814
NCF19,OUT035,703.05914
NCE06,OUT046,2620.1738
DRC27,OUT046,4092.3413
FDE21,OUT035,2126.079
NCR42,OUT019,49.411552
FDX51,OUT018,2331.1733
NCR06,OUT018,385.9859
FDU31,OUT027,4567.6943
FDU59,OUT017,2047.0621
FDR03,OUT027,5379.9824
FDS49,OUT027,2551.359
FDD48,OUT010,434.75635
NCF18,OUT017,3416.2002
NCD43,OUT027,1727.7222
NCD54,OUT018,1677.775
FDY19,OUT010,202.59944
NCY54,OUT017,2205.474
NCL19,OUT018,1815.3282
FDP23,OUT010,228.95596
FDC26,OUT013,1794.0691
FDR14,OUT010,57.56077
NCS41,OUT035,2788.1777
FDF41,OUT035,3720.3425
FDU34,OUT046,1867.506
DRH11,OUT046,728.5215
FDM03,OUT013,2153.6594
FDS31,OUT017,3301.2715
FDJ20,OUT017,1602.9711
FDV44,OUT027,4597.3926
FDG02,OUT049,2962.5952
FDA09,OUT013,3627.7058
FDT04,OUT013,551.17633
FDL58,OUT019,966.073
FDE52,OUT045,1356.5024
FDW12,OUT035,2576.2654
FDL51,OUT017,3329.7947
NCY42,OUT027,2837.698
FDR07,OUT017,1030.4822
FDN40,OUT045,2407.679
FDB35,OUT027,2521.834
FDA22,OUT017,3185.8599
NCL06,OUT046,4665.614
FDI35,OUT013,3665.9692
